host_response_time,host_response_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d
1,0,1,1.0,1,1,1,1,1,0,22.0,38.0,1,2.0,4,2.3,3.0,1125,5.1,1125.0,1,45,67,314,3.0,0
1,0,1,1.0,1,1,1,1,1,0,22.0,38.0,0,2.0,2,3.0,3.0,1125,5.3,1125.0,1,55,85,355,4.0,0
0,0,0,1.0,1,1,1,1,1,0,1.0,1.0,1,2.0,3,3.0,1.0,29,1.2,1125.0,0,30,60,60,31.0,3
0,0,1,1.0,1,1,1,1,1,0,1.0,1.0,0,1.0,1,2.0,3.0,1125,3.0,1125.0,1,57,87,237,12.0,0
1,1,1,1.0,1,1,0,1,1,0,9.0,13.0,1,1.0,3,4.0,30.0,1125,17.4,1125.0,0,0,0,162,45.0,0
0,1,0,1.0,1,1,0,1,1,0,1.0,1.0,0,2.5,2,2.0,2.0,1125,2.0,1125.0,1,40,40,108,7.0,1
1,1,1,1.0,1,1,1,1,1,1,7.0,9.0,1,1.5,3,4.0,2.0,1125,2.0,1125.0,1,29,59,330,29.0,0
1,1,1,1.0,1,1,1,1,1,0,2.0,2.0,1,1.0,3,3.0,3.0,100,3.0,1125.0,1,42,55,55,15.0,1
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,1,3.0,3,3.0,30.0,60,30.0,60.0,1,27,57,332,2.0,0
1,1,1,1.0,1,1,0,1,1,0,2.0,2.0,0,1.0,2,3.0,1.0,1125,1.0,1125.0,1,49,76,164,15.6,2
1,1,1,,1,1,0,1,1,0,17.0,19.0,0,1.0,1,2.0,2.0,1125,1.7,1125.0,0,31,48,323,27.0,4
1,0,0,1.0,1,0,0,1,1,1,6.1,8.6,0,2.0,2,2.0,2.0,1125,2.3,1125.0,0,31,58,326,2.0,1
0,0,0,,1,1,0,1,1,0,1.0,1.0,0,2.1,2,2.6,9.4,700,10.2,1125.0,1,60,90,90,23.0,0
1,0,1,,1,1,1,1,1,1,3.0,6.0,0,1.0,1,1.0,30.0,365,30.0,365.0,0,19,19,256,7.0,0
1,1,1,1.0,1,1,0,1,1,1,2.0,2.0,0,1.0,2,3.0,1.0,14,1.0,1125.0,1,35,65,325,15.6,1
0,0,1,1.0,1,1,0,1,1,0,1.0,1.0,0,2.1,2,2.6,3.0,1125,3.0,1125.0,0,0,0,0,4.0,0
1,1,1,1.0,1,0,0,1,1,0,2.0,2.0,0,1.0,1,1.0,2.0,1125,2.0,1125.0,0,27,57,147,50.0,5
1,0,1,1.0,1,1,1,1,1,0,22.0,38.0,0,1.6,6,2.3,3.0,1125,5.0,1125.0,1,25,53,236,4.0,1
1,0,1,1.0,1,1,0,1,1,0,22.0,38.0,0,2.0,2,2.0,4.0,1125,5.6,1125.0,1,53,83,351,1.0,0
1,0,1,1.0,1,1,1,1,1,0,22.0,38.0,1,2.0,2,3.0,4.0,1125,5.3,1125.0,1,39,69,209,2.0,0
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,1,1.0,2.0,1125,1.4,1125.0,0,3,33,123,46.0,4
1,1,1,,1,1,0,1,1,0,7.0,10.0,0,1.0,1,1.0,1.0,30,1.9,1125.0,1,19,19,19,24.0,1
1,1,1,,1,1,0,1,1,0,7.0,10.0,0,1.0,2,2.0,1.0,360,1.9,1125.0,1,18,18,18,9.0,1
